no,result,scramble,time,algs,edges,corners,flips,twists,solved_edges,solved_corners,edge_breaks,corner_breaks
27435,23.7,F' R2 F R2 L2 B' L' U' F2 R' F2 R' L2 D2 F2 R B2 R' Rw2,2021-02-15 11:48:25,11,13,7,0,0,0,0,2,0
27437,22.63,D R2 B R U' B2 U F2 D' R2 D2 L2 B2 U2 R D L2 F2 L2 B' D' Fw Uw2,2021-02-15 11:49:36,11,11,7,0,1,1,0,1,1
27439,23.9,F' B D2 R2 U L B2 R U F2 R2 U2 B2 R2 F' D2 B' R2 D2 B U2 Fw Uw,2021-02-15 11:51:22,11,11,9,0,0,0,0,0,2
27442,20.3,U' R' B2 L2 D2 R' U2 F2 R' B2 L B2 D2 F R' B' F2 D' R B F' Rw2 Uw2,2021-02-15 11:53:41,9,10,6,0,1,2,0,1,0
27443,23.37,D2 F2 U R2 D' B2 D' B2 R2 U F' R2 F R U2 B2 R2 D Rw2,2021-02-15 11:54:11,10,12,6,0,1,1,0,2,0
27444,19.88,L2 D F2 U' B2 F2 L2 D B2 U B D' U' R U' F L' D U' R Fw Uw,2021-02-15 11:54:47,10,12,8,0,0,1,0,2,1
27446,21.28,R' L' U2 D' F' L' F L' U2 R D2 B2 D2 B2 R U2 R' D' L2 Rw' Uw2,2021-02-15 11:56:25,9,10,8,0,0,2,1,1,2
27448,24.3,L U2 L B2 L' D2 F2 R F2 R' F2 R' D' R' B2 D F L B' F2 U Rw2 Uw,2021-02-15 11:57:31,11,12,8,1,0,0,0,2,1
27449,22.0,D2 B2 L2 D2 B2 F R2 D2 F R2 D2 F U L' B2 D' F D2 B2 F D' Rw Uw2,2021-02-15 11:59:01,10,12,4,0,2,0,1,1,0
27452,19.65,D' L' B' U R2 F R' U B U F2 U2 D2 F2 L2 U' D L2 Rw2,2021-02-15 12:00:56,10,11,7,0,0,1,1,1,1
27453,22.68,L' F2 D R2 B' L' U' L U2 R' D2 B2 R B2 D2 R' F2 U Rw' Uw,2021-02-15 12:01:55,10,10,6,0,2,2,0,1,1
27454,22.67,D B2 L2 U B2 D B2 R2 F2 L2 F2 L B U' R U L F D2 L' D' Rw' Uw,2021-02-15 12:02:30,12,12,8,1,1,0,0,2,2
27455,20.7,B' U2 R2 B2 D L2 U' L2 B2 D' B2 F L F R' F' U' R2 F',2021-02-15 12:03:03,10,11,7,0,0,0,2,0,2
27457,24.36,F' L U' R2 B2 R2 D2 B2 D2 U' F2 U R2 B D F R' B2 R D2 Rw' Uw,2021-02-15 12:05:11,12,14,8,0,1,0,0,3,2
28496,24.93,B2 D2 F L2 D2 F2 U2 B' U2 F' D2 B U R D2 F2 U' B F U F Fw' Uw',2021-01-02 15:18:54,11,11,9,0,0,1,0,1,2
28498,25.52,U2 F2 U2 B D2 R2 D2 L2 F2 D2 R U F' D B' R' B D2 U' B Rw Uw',2021-01-02 15:20:18,11,12,8,0,1,0,0,1,2
28500,20.32,F2 R2 U B2 U2 L2 D' F2 D' L2 F2 D' R U' R2 F2 D L2 B2 D2 F' Rw Uw',2021-01-02 15:23:16,10,10,6,1,1,1,0,1,0
28504,25.45,F B2 R B2 L F2 D2 L2 F2 R' D2 F2 D L U' B L' F' R F' Rw2,2021-01-02 16:44:38,11,12,6,0,2,0,0,1,1
28508,21.32,U' F' D U2 L2 D F2 U' F2 R2 U' F L B2 D' B' U' F2 L' Rw Uw,2021-01-02 16:47:34,11,14,6,1,0,0,1,4,0
28511,20.92,F R D2 R2 B U2 B L2 D2 F2 R2 D2 B F2 D' U' R' B L2 R Fw' Uw,2021-01-02 16:49:43,11,12,8,1,0,0,0,2,1
28512,20.3,U' R2 D2 B2 U' F2 U F2 L2 U F2 U2 F' D2 R' D L2 D' L D Rw2 Uw',2021-01-02 16:50:14,11,11,9,0,0,1,0,1,2
28516,19.75,B2 D2 R' F2 R2 U2 R U2 L F2 R2 F' R' U' B U2 L R2 D U2 R2 Rw2,2021-01-02 17:01:05,11,11,5,0,2,1,1,1,1
28517,20.71,L' U2 D' R' D2 L' U R' B U2 D2 R2 U2 F2 B L2 D2 F R2 D' Fw,2021-01-02 17:01:39,10,11,7,0,0,0,0,0,0
28518,18.45,F' R' L2 D' U2 L2 B2 R2 B2 D B2 R2 F2 U2 R' U L' U' R2 F U2 Rw',2021-01-02 17:02:12,10,12,8,0,0,1,0,2,1
28519,20.84,B2 R D' U2 L2 F' R2 F2 R2 F U2 F U2 F' L' B2 L B2 R U' B' Rw Uw,2021-01-02 17:02:52,12,13,5,0,2,0,0,2,0
28520,22.26,B' U R' L' F2 D F' R' F2 L2 U2 B2 U2 F R2 B' R2 L2 U2 B' Rw Uw2,2021-01-02 17:03:35,11,9,7,1,1,2,0,1,1
28521,23.79,F U' F2 D' L2 F2 U B2 L2 R2 U2 F2 R' D B2 L R D B2 D2 F Rw Uw,2021-01-02 17:04:12,9,10,6,0,1,1,1,0,1
28522,21.16,R2 L F2 B' U B' D L F L' D2 F2 L U2 R B2 R' D2 L2 U2 D2 Fw,2021-01-02 17:05:02,11,12,6,1,1,0,0,2,0
28524,22.57,B' R2 U2 B R2 F' D2 F2 L2 F R2 D L R D' L U2 L' D2 U' B2 Fw' Uw,2021-01-02 17:06:34,9,11,7,0,0,1,1,1,1
28526,20.99,D L2 B U B2 D2 B2 U2 R2 U2 F2 R2 U' B' L' U2 R' B D' L Rw' Uw,2021-01-02 17:08:04,9,12,4,0,1,0,2,1,0
28527,22.5,U B2 F2 D' B2 U' B2 U F2 U R2 L U2 B D F U R2 D R Uw,2021-01-02 17:08:35,12,11,9,1,0,0,0,1,2
28529,23.7,R L' F' U' R' B' R2 U' B L2 F2 B2 U2 B2 D' L2 F2 D2 B2 Fw Uw',2021-01-02 17:10:07,12,11,7,1,1,0,0,1,1
28533,22.89,U F2 L B2 D2 R' B2 L U2 R U2 F2 L' B R2 D2 U R U2 B' L' Rw',2021-01-02 17:13:16,10,10,8,1,0,0,0,0,1
28535,21.12,L' D2 F' R F2 L F' L2 U R2 F D2 B' U2 B' R2 F' L2 B' U2 B2 Fw,2021-01-02 17:14:30,10,12,8,0,0,1,0,2,1
28537,20.44,D' L' F2 U' B2 D' B2 L2 D2 L2 D B' R2 D' U F D2 F2 L' Rw' Uw2,2021-01-02 17:15:40,10,11,5,0,1,0,1,0,0
28539,18.85,F2 R2 U' L2 U2 B2 F2 D' R2 D' B2 U2 R' U' R F L U' R' B U Fw' Uw2,2021-01-02 17:16:57,11,11,5,0,2,1,1,1,1
